Date,Open,High,Low,Close,Adj Close,Volume
2017-10-23,54.770000,54.939999,54.180000,54.270000,52.486988,10111100
2017-10-24,54.369999,54.560001,54.020000,54.279999,52.496651,7818500
2017-10-25,54.240002,54.389999,53.660000,54.160000,52.380600,8281200
2017-10-26,54.500000,55.750000,54.500000,54.910000,53.105961,12211400
2017-10-27,54.830002,55.119999,54.680000,54.880001,53.076946,9922600
2017-10-30,54.790001,55.230000,54.400002,55.169998,53.357422,6430900
2017-10-31,55.160000,55.310001,54.700001,54.840000,53.038258,8857800
2017-11-01,55.099998,55.590000,54.939999,55.130001,53.318737,7189800
2017-11-02,55.150002,55.389999,54.770000,54.869999,53.067268,16879000
2017-11-03,54.160000,56.939999,54.049999,56.029999,54.189159,28773800
2017-11-06,55.990002,56.689999,55.630001,56.570000,54.711422,10811300
2017-11-07,56.330002,57.290001,56.330002,57.220001,55.340069,11167400
2017-11-08,57.029999,58.009998,57.000000,57.910000,56.007393,13533700
2017-11-09,57.200001,57.660000,56.790001,57.360001,55.475468,14778900
2017-11-10,57.360001,57.389999,56.540001,57.040001,55.165977,7930300
2017-11-13,56.810001,57.139999,56.549999,56.639999,54.779125,7648200
2017-11-14,56.470001,57.000000,56.410000,56.930000,55.059597,7758200
2017-11-15,56.820000,57.060001,56.509998,56.700001,55.127651,8880500
2017-11-16,56.919998,57.419998,56.750000,57.240002,55.652679,8310200
2017-11-17,57.240002,57.430000,56.840000,56.930000,55.351276,6310800
2017-11-20,56.669998,57.049999,56.580002,56.810001,55.234604,6360100
2017-11-21,56.959999,57.560001,56.880001,57.259998,55.672123,6284300
2017-11-22,57.070000,57.180000,56.799999,57.139999,55.555450,7308500
2017-11-24,57.189999,57.189999,56.709999,56.799999,55.224880,3479000
2017-11-27,56.830002,56.919998,55.750000,55.910000,54.359562,10580300
2017-11-28,56.029999,56.720001,55.910000,56.660000,55.088760,9734400
2017-11-29,56.709999,57.680000,56.700001,57.509998,55.915188,10017900
2017-11-30,57.639999,58.139999,57.470001,57.820000,56.216591,11509200
2017-12-01,57.500000,57.709999,56.459999,57.320000,55.730465,12756400
2017-12-04,57.540001,59.189999,57.500000,58.759998,57.130527,13302100
2017-12-05,59.250000,59.680000,58.910000,59.340000,57.694443,11295600
2017-12-06,59.380001,59.830002,59.230000,59.279999,57.636105,8458200
2017-12-07,59.119999,59.279999,58.759998,59.139999,57.499992,6033800
2017-12-08,58.520000,58.849998,58.099998,58.610001,56.984684,9950500
2017-12-11,58.389999,59.349998,58.290001,59.070000,57.431931,10286600
2017-12-12,58.990002,59.360001,58.869999,59.270000,57.626385,6042900
2017-12-13,59.439999,59.889999,59.299999,59.490002,57.840282,7726300
2017-12-14,59.730000,60.049999,59.439999,59.700001,58.044456,8945900
2017-12-15,59.250000,59.369999,58.160000,58.290001,56.673565,22595000
2017-12-18,58.439999,58.790001,57.889999,58.029999,56.420769,8751600
2017-12-19,58.130001,58.580002,57.930000,58.009998,56.401325,7945700
2017-12-20,58.220001,58.290001,57.689999,57.730000,56.129089,7188700
2017-12-21,57.939999,58.150002,57.490002,57.580002,55.983253,5974500
2017-12-22,57.570000,57.910000,57.119999,57.299999,55.711014,7148700
2017-12-26,57.270000,57.580002,57.049999,57.139999,55.555450,5546200
2017-12-27,57.189999,57.650002,57.180000,57.270000,55.681847,4812200
2017-12-28,57.470001,58.000000,57.299999,57.810001,56.206871,5044500
2017-12-29,57.740002,57.970001,57.419998,57.430000,55.837410,5365600
2018-01-02,57.950001,58.209999,57.480000,57.630001,56.031864,7216000
2018-01-03,57.930000,58.959999,57.799999,58.709999,57.081913,7478400
2018-01-04,58.990002,59.410000,58.730000,58.930000,57.295811,5775900
2018-01-05,59.250000,59.689999,59.070000,59.610001,57.956955,6047700
2018-01-08,59.480000,59.669998,58.560001,59.310001,57.665272,6335800
2018-01-09,59.200001,59.470001,58.860001,59.180000,57.538883,5233400
2018-01-10,60.000000,60.130001,58.860001,59.820000,58.161137,8656500
2018-01-11,59.520000,60.020000,59.450001,60.000000,58.336143,5806300
2018-01-12,60.400002,60.509998,59.650002,60.400002,58.725052,6989100
2018-01-16,60.330002,61.099998,60.299999,60.560001,58.880611,8040700
2018-01-17,61.000000,61.330002,60.520000,60.660000,58.977837,8417000
2018-01-18,61.430000,61.439999,60.740002,61.090000,59.395912,9170900
2018-01-19,61.209999,61.459999,60.950001,61.259998,59.561199,8361900
2018-01-22,61.040001,61.470001,60.770000,61.410000,59.707039,11945800
2018-01-23,61.320000,61.910000,61.139999,61.689999,59.979275,10806800
2018-01-24,61.509998,61.939999,60.230000,60.830002,59.143124,11911900
2018-01-25,61.029999,61.200001,60.400002,60.549999,58.870888,16225600
2018-01-26,57.939999,58.169998,56.549999,57.990002,56.381886,51851700
2018-01-29,57.549999,58.349998,56.910000,57.020000,55.438778,18899900
2018-01-30,56.959999,57.540001,56.740002,57.189999,55.604061,14341200
2018-01-31,57.230000,57.450001,56.700001,56.810001,55.234604,13118400
2018-02-01,56.279999,56.419998,55.889999,56.000000,54.447063,14690100
2018-02-02,55.900002,56.320000,55.700001,55.770000,54.223442,15358900
2018-02-05,55.529999,56.259998,54.570000,54.689999,53.173393,16060000
2018-02-06,53.689999,56.060001,53.560001,55.610001,54.067879,17415100
2018-02-07,55.080002,55.430000,54.439999,54.459999,53.236965,13927000
2018-02-08,54.500000,54.790001,53.750000,53.770000,52.562462,17736700
2018-02-09,54.200001,55.060001,53.650002,54.580002,53.354275,19382000
2018-02-12,54.860001,55.730000,54.549999,55.380001,54.136311,10969000
2018-02-13,55.250000,55.720001,55.020000,55.669998,54.419792,10416400
2018-02-14,55.470001,56.700001,55.290001,55.990002,54.732609,14190300
2018-02-15,56.360001,56.830002,55.900002,56.580002,55.309361,10294900
2018-02-16,56.650002,57.049999,56.340000,56.480000,55.211605,10151300
2018-02-20,56.290001,56.540001,55.830002,55.970001,54.713055,9450900
2018-02-21,55.930000,56.740002,55.860001,56.099998,54.840137,7851000
2018-02-22,55.950001,56.139999,55.259998,55.400002,54.155861,10172400
2018-02-23,55.650002,56.150002,54.799999,56.139999,54.879238,11394400
2018-02-26,56.419998,57.349998,56.320000,57.169998,55.886105,8713800
2018-02-27,57.290001,57.639999,56.560001,56.570000,55.299583,8821400
2018-02-28,56.840000,57.919998,56.830002,57.099998,55.817677,11541100
2018-03-01,57.000000,57.560001,55.830002,56.169998,54.908566,11127600
2018-03-02,55.720001,57.200001,55.680000,56.930000,55.651501,11555100
2018-03-05,56.830002,57.419998,56.680000,56.990002,55.710152,7835400
2018-03-06,57.250000,57.250000,56.540001,57.029999,55.749249,8046800
2018-03-07,56.619999,57.169998,56.619999,57.029999,55.749249,7044100
2018-03-08,57.290001,57.799999,57.130001,57.470001,56.179371,7434700
2018-03-09,57.669998,58.630001,57.669998,58.459999,57.147141,9539600
2018-03-12,58.669998,59.680000,58.480000,59.400002,58.066029,10550300
2018-03-13,59.700001,60.700001,58.889999,59.049999,57.723888,10411400
2018-03-14,59.279999,59.720001,58.709999,58.830002,57.508835,6488500
2018-03-15,58.930000,60.070000,58.820000,59.369999,58.036701,7377000
2018-03-16,59.380001,59.650002,58.939999,59.000000,57.675011,13030900
2018-03-19,58.700001,58.849998,57.799999,58.299999,56.990730,9350600
2018-03-20,58.450001,58.980000,58.450001,58.660000,57.342648,5888400
2018-03-21,58.750000,59.549999,58.389999,58.470001,57.156918,6569100
2018-03-22,58.029999,58.720001,57.750000,57.770000,56.472633,6846500
2018-03-23,57.779999,57.930000,56.310001,56.310001,55.045422,9476800
2018-03-26,56.959999,58.000000,56.549999,57.799999,56.501957,8444900
2018-03-27,58.099998,58.500000,57.139999,57.459999,56.169594,7562900
2018-03-28,57.500000,58.099998,57.220001,57.900002,56.599716,9301900
2018-03-29,57.259998,58.139999,56.830002,57.889999,56.589935,12015200
2018-04-02,57.520000,57.730000,55.380001,56.240002,54.976997,16778300
2018-04-03,56.549999,58.049999,56.450001,58.000000,56.697468,10908200
2018-04-04,57.250000,58.970001,57.209999,58.830002,57.508835,7893100
2018-04-05,59.000000,59.270000,58.860001,59.139999,57.811867,6305100
2018-04-06,58.779999,59.139999,58.090000,58.340000,57.029831,8264500
2018-04-09,58.540001,59.369999,58.419998,58.700001,57.381748,8023800
2018-04-10,59.110001,59.490002,58.869999,59.410000,58.075806,6545000
2018-04-11,59.189999,59.709999,59.000000,59.419998,58.085575,5508000
2018-04-12,59.660000,60.119999,59.419998,59.430000,58.095356,6088200
2018-04-13,59.000000,59.549999,58.959999,59.240002,57.909618,6689800
2018-04-16,59.130001,59.689999,58.840000,59.430000,58.095356,6119200
2018-04-17,59.750000,60.000000,59.400002,59.830002,58.486374,6139600
2018-04-18,59.730000,59.830002,59.439999,59.500000,58.163784,5914200
2018-04-19,59.419998,59.490002,58.730000,59.220001,57.890068,6280100
2018-04-20,59.029999,59.180000,57.799999,58.000000,56.697468,12037600
2018-04-23,58.009998,58.730000,57.689999,58.160000,56.853874,8444400
2018-04-24,58.480000,58.660000,57.650002,57.810001,56.511738,7793600
2018-04-25,58.270000,58.270000,57.290001,57.709999,56.413982,8367400
2018-04-26,58.110001,60.180000,57.849998,59.380001,58.046478,14516600
2018-04-27,58.070000,58.980000,57.500000,58.360001,57.049385,11975200
2018-04-30,58.389999,58.509998,57.459999,57.570000,56.277122,7854600
2018-05-01,57.669998,58.250000,57.439999,58.130001,56.824551,7257500
2018-05-02,58.060001,58.090000,56.529999,56.700001,55.426662,7299100
2018-05-03,56.520000,56.570000,55.540001,56.130001,54.869465,7152400
2018-05-04,56.540001,57.930000,56.490002,57.680000,56.384659,9279200
2018-05-07,58.990002,59.040001,57.270000,57.450001,56.159821,10630600
2018-05-08,57.450001,57.709999,57.000000,57.669998,56.374878,7234000
2018-05-09,57.430000,57.619999,56.790001,57.040001,56.050602,7015300
2018-05-10,57.180000,57.700001,57.020000,57.650002,56.650024,6565800
2018-05-11,57.720001,57.860001,57.070000,57.270000,56.276615,5843400
2018-05-14,57.360001,57.509998,56.990002,57.130001,56.139042,5871800
2018-05-15,57.000000,57.099998,56.349998,56.639999,55.657543,7415800
2018-05-16,56.830002,57.330002,56.790001,57.150002,56.158695,4843900
2018-05-17,57.200001,57.349998,56.980000,57.200001,56.207829,6110100
2018-05-18,57.270000,57.389999,56.860001,57.160000,56.168522,7786000
2018-05-21,57.400002,57.820000,57.259998,57.340000,56.345402,5379300
2018-05-22,57.500000,57.619999,56.910000,56.959999,55.971992,5355600
2018-05-23,56.799999,57.570000,56.759998,57.490002,56.492798,5193500
2018-05-24,57.439999,57.740002,57.119999,57.680000,56.679504,5681600
2018-05-25,57.680000,58.380001,57.580002,57.919998,56.915337,6783800
2018-05-29,57.700001,57.880001,57.009998,57.230000,56.237309,6475900
2018-05-30,57.430000,57.660000,57.150002,57.480000,56.482967,5762400
2018-05-31,57.180000,57.470001,56.549999,56.669998,55.687016,9433000
2018-06-01,56.840000,57.029999,56.610001,56.910000,55.922859,4967700
2018-06-04,57.099998,57.200001,56.799999,57.070000,56.080082,7484100
2018-06-05,56.689999,56.700001,55.279999,55.680000,54.714191,18278800
2018-06-06,55.840000,57.180000,55.619999,57.169998,56.178345,13709800
2018-06-07,57.290001,57.939999,57.090000,57.139999,56.148869,7919800
2018-06-08,56.919998,57.060001,56.520000,56.599998,55.618237,8433500
2018-06-11,56.610001,56.740002,56.270000,56.480000,55.500317,7181700
2018-06-12,56.599998,56.900002,56.299999,56.480000,55.500317,8249700
2018-06-13,56.509998,56.700001,56.180000,56.209999,55.235001,8283200
2018-06-14,56.459999,57.070000,56.310001,57.020000,56.030949,11049700
2018-06-15,57.040001,57.209999,56.459999,57.110001,56.119389,12408300
2018-06-18,56.770000,57.320000,56.110001,57.220001,56.227482,9676900
2018-06-19,56.650002,57.500000,56.340000,57.430000,56.433838,9965500
2018-06-20,54.830002,55.009998,51.580002,52.220001,51.314213,62091100
2018-06-21,52.290001,52.630001,50.360001,50.619999,49.741962,30723000
2018-06-22,51.000000,51.720001,50.820000,51.240002,50.351208,24429600
2018-06-25,51.160000,51.439999,50.209999,50.660000,49.781269,15578600
2018-06-26,50.509998,50.630001,50.110001,50.380001,49.506130,12930600
2018-06-27,50.520000,50.529999,49.840000,49.840000,48.975491,14576900
2018-06-28,49.450001,49.480000,47.369999,48.540001,47.698044,33210100
2018-06-29,48.080002,49.259998,48.080002,48.849998,48.002663,17413000
2018-07-02,48.639999,49.099998,48.549999,49.060001,48.209023,9870900
2018-07-03,49.150002,49.299999,48.759998,48.770000,47.924053,7517500
2018-07-05,48.919998,49.029999,48.400002,48.610001,47.766827,9630500
2018-07-06,48.900002,49.189999,48.580002,48.980000,48.130409,10712000
2018-07-09,49.209999,50.049999,49.209999,49.900002,49.034454,12811700
2018-07-10,50.080002,50.509998,49.959999,50.419998,49.545429,9038000
2018-07-11,50.220001,50.480000,50.020000,50.139999,49.270287,9542400
